TT=290,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.666667e-001
TT=291,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.833333e-001
TT=292,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.833333e-001
TT=293,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.833333e-001
TT=294,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.833333e-001
TT=295,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.833333e-001
TT=296,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=5.000000e-001
TT=297,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=5.000000e-001
TT=298,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=5.166667e-001
TT=299,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=5.333333e-001
TT=300,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=5.500000e-001
